Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
179,XAUUSD,Sell,28.02.2020 16:37:00,1616.77,2.77,28.02.2020 20:28:29,1568.76,3h 51m,13276.71,26058.22,-22.06,13276.71,26058.22,480100,1378500,11.77,25.36,tp 1568.93,IS
183,XAUUSD,Sell,28.02.2020 20:28:00,1568.91,2.04,28.02.2020 20:29:03,1564.37,1m 3s,910.18,26968.4,-15.98,910.18,26968.4,45400,1423900,0.72,26.08,tp 1564.37,IS
186,XAUUSD,Buy,28.02.2020 23:00:01,1579.1,2.53,28.02.2020 23:03:35,1580.68,3m 34s,379.75,27348.15,-19.99,379.75,27348.15,15800,1439700,0.3,26.38,,IS
188,XAUUSD,Buy,28.02.2020 23:17:00,1580.42,2.54,28.02.2020 23:17:56,1581.43,56s,236.46,27584.61,-20.08,236.46,27584.61,10100,1449800,0.19,26.56,,IS
190,XAUUSD,Buy,28.02.2020 23:18:00,1579.84,2.54,28.02.2020 23:26:21,1579.97,8m 21s,12.96,27597.57,-20.06,12.96,27597.57,1300,1451100,0.01,26.57,sl 1580.04,IS
192,XAUUSD,Buy,02.03.2020 23:00:00,1586.35,2.54,02.03.2020 23:03:31,1588.08,3m 31s,419.27,28016.84,-20.15,419.27,28016.84,17300,1468400,0.33,26.9,,IS
194,XAUUSD,Buy,02.03.2020 23:04:01,1587.88,2.56,02.03.2020 23:24:03,1589.46,20m 2s,384.15,28400.99,-20.33,384.15,28400.99,15800,1484200,0.3,27.2,,IS
196,XAUUSD,Buy,02.03.2020 23:51:01,1590.73,2.56,03.03.2020 01:15:51,1592.78,1h 24m,367.73,28768.72,-157.07,367.73,28768.72,20500,1504700,0.29,27.49,,IS
198,XAUUSD,Buy,03.03.2020 23:00:00,1636.02,2.57,03.03.2020 23:11:51,1637.16,11m 51s,271.95,29040.67,-21.03,271.95,29040.67,11400,1516100,0.21,27.7,,IS
199,XAUUSD,Buy,03.03.2020 23:00:00,1636.02,2.57,03.03.2020 23:11:51,1637.12,11m 51s,261.67,29302.34,-21.03,261.67,29302.34,11000,1527100,0.2,27.9,,IS
202,XAUUSD,Buy,03.03.2020 23:29:05,1637.26,2.58,03.03.2020 23:33:51,1638.27,4m 46s,239.45,29541.79,-21.13,239.45,29541.79,10100,1537200,0.19,28.09,,IS
203,XAUUSD,Buy,03.03.2020 23:29:05,1637.26,2.58,03.03.2020 23:33:52,1638.27,4m 47s,239.45,29781.24,-21.13,239.45,29781.24,10100,1547300,0.18,28.27,,IS
206,XAUUSD,Buy,05.03.2020 16:06:00,1657.21,2.23,05.03.2020 16:33:40,1662.24,27m 40s,1103.18,30884.42,-18.51,1103.18,30884.42,50300,1597600,0.85,29.12,tp 1662.19,IS
