Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
3084613633,XAUUSD,Buy,12.05.2025 23:02:00,3233.94,2.25,12.05.2025 23:10:05,3235.06,8m 5s,215.61,13494.54,-36.39,215.61,13494.54,11200,21300,0.19,13.65,,IS
3084613634,XAUUSD,Buy,12.05.2025 23:02:00,3233.94,2.25,12.05.2025 23:10:05,3235.09,8m 5s,222.36,13716.9,-36.39,222.36,13716.9,11500,32800,0.2,13.85,,IS
3084615623,XAUUSD,Buy,12.05.2025 23:27:01,3236.27,2.27,13.05.2025 01:01:00,3239.45,1h 33m,567.75,14284.65,-154.11,567.75,14284.65,31800,64600,0.5,14.35,,IS
3084615624,XAUUSD,Buy,12.05.2025 23:27:01,3236.27,2.27,13.05.2025 01:01:00,3239.45,1h 33m,567.75,14852.4,-154.11,567.75,14852.4,31800,96400,0.5,14.84,,IS
3084925279,XAUUSD,Sell,14.05.2025 16:03:00,3182.02,1.03,14.05.2025 16:32:59,3193.43,29m 59s,-1191.64,13660.76,-16.41,-1191.64,13660.76,-114100,-17700,-1.04,13.81,,IS
3084925284,XAUUSD,Sell,14.05.2025 16:03:00,3181.99,1.03,14.05.2025 16:32:59,3193.46,29m 59s,-1197.82,12462.94,-16.41,-1197.82,12462.94,-114700,-132400,-1.05,12.75,,IS
3084997808,XAUUSD,Sell,14.05.2025 21:55:00,3173.59,1.01,15.05.2025 02:11:26,3184.75,4h 16m,-1043.22,11419.72,83.94,-1043.22,11419.72,-111600,-244000,-0.93,11.83,,IS
3084997814,XAUUSD,Sell,14.05.2025 21:55:00,3173.59,1.04,15.05.2025 02:07:22,3184.45,4h 12m,-1043.01,10376.71,86.43,-1043.01,10376.71,-108600,-352600,-0.94,10.89,,IS
3085007752,XAUUSD,Buy,14.05.2025 23:19:00,3178.95,2.24,14.05.2025 23:31:42,3180.46,12m 42s,302.63,10679.34,-35.61,302.63,10679.34,15100,-337500,0.27,11.16,,IS
3085009013,XAUUSD,Buy,14.05.2025 23:46:00,3180.33,2.25,14.05.2025 23:50:55,3181.89,4m 55s,315.21,10994.55,-35.79,315.21,10994.55,15600,-321900,0.28,11.45,,IS
3085009292,XAUUSD,Buy,14.05.2025 23:52:00,3180.91,2.25,15.05.2025 02:07:22,3184.08,2h 15m,326.45,11321,-386.8,326.45,11321,31700,-290200,0.29,11.74,,IS
3085392393,XAUUSD,Buy,16.05.2025 23:00:00,3192.76,2.22,16.05.2025 23:00:21,3194.09,21s,259.81,11580.81,-35.45,259.81,11580.81,13300,-276900,0.23,11.98,,IS
3085392394,XAUUSD,Buy,16.05.2025 23:00:00,3192.76,2.22,16.05.2025 23:00:21,3194.09,21s,259.81,11840.62,-35.45,259.81,11840.62,13300,-263600,0.23,12.21,,IS
3085393957,XAUUSD,Buy,16.05.2025 23:28:01,3197.56,2.23,16.05.2025 23:43:50,3198.69,15m 49s,216.33,12056.95,-35.66,216.33,12056.95,11300,-252300,0.19,12.4,,IS
3085393958,XAUUSD,Buy,16.05.2025 23:28:01,3197.56,2.23,16.05.2025 23:43:49,3198.69,15m 48s,216.33,12273.28,-35.66,216.33,12273.28,11300,-241000,0.19,12.6,,IS
3085764209,XAUUSD,Buy,20.05.2025 17:04:00,3267.61,0.98,20.05.2025 17:08:29,3277.37,4m 29s,940.44,13213.72,-16.04,940.44,13213.72,97600,-143400,0.84,13.43,,IS
3085764210,XAUUSD,Buy,20.05.2025 17:04:00,3267.61,1.04,23.05.2025 15:01:24,3353.37,2d 21h 57m,8584.21,21797.93,-334.83,8584.21,21797.93,857600,714200,7.58,21.02,,IS
3085812095,XAUUSD,Buy,20.05.2025 20:40:00,3286.75,0.98,21.05.2025 01:08:41,3296.68,4h 28m,906.44,22704.37,-66.7,906.44,22704.37,99300,813500,0.74,21.76,,IS
3086280883,XAUUSD,Buy,22.05.2025 23:00:00,3290.45,2.28,22.05.2025 23:21:12,3291.91,21m 12s,295.36,22999.73,-37.52,295.36,22999.73,14600,828100,0.24,22,,IS
3086282885,XAUUSD,Buy,22.05.2025 23:22:00,3291.65,2.28,22.05.2025 23:27:07,3293.2,5m 7s,315.87,23315.6,-37.53,315.87,23315.6,15500,843600,0.26,22.26,,IS
3086423838,XAUUSD,Buy,23.05.2025 16:01:00,3361.24,1.04,23.05.2025 16:20:41,3349.36,19m 41s,-1252.97,22062.63,-17.45,-1252.97,22062.63,-118800,724800,-1.02,21.24,,IS
3086423839,XAUUSD,Buy,23.05.2025 16:01:00,3361.24,1.35,23.05.2025 16:20:11,3351.9,19m 11s,-1283.55,20779.08,-22.65,-1283.55,20779.08,-93400,631400,-1.05,20.19,,IS
3086479379,XAUUSD,Buy,23.05.2025 20:27:00,3365.47,1.02,26.05.2025 01:01:00,3351.1,2d 4h 34m,-1482.87,19296.21,-17.13,-1482.87,19296.21,-143700,487700,-1.23,18.96,,IS
